state_abbrev,county_name,comm_dist_code
MD,Allegany,
MD,Anne Arundel,1
MD,Anne Arundel,2
MD,Anne Arundel,3
MD,Anne Arundel,4
MD,Anne Arundel,5
MD,Anne Arundel,6
MD,Anne Arundel,7
MD,Baltimore,1
MD,Baltimore,2
MD,Baltimore,3
MD,Baltimore,4
MD,Baltimore,5
MD,Baltimore,6
MD,Baltimore,7
MD,Baltimore City,1
MD,Baltimore City,10
MD,Baltimore City,11
MD,Baltimore City,12
MD,Baltimore City,13
MD,Baltimore City,14
MD,Baltimore City,2
MD,Baltimore City,3
MD,Baltimore City,4
MD,Baltimore City,5
MD,Baltimore City,6
MD,Baltimore City,7
MD,Baltimore City,8
MD,Baltimore City,9
MD,Calvert,
MD,Caroline,
MD,Carroll,
MD,Cecil,
MD,Charles,
MD,Dorchester,1
MD,Dorchester,2
MD,Dorchester,3
MD,Dorchester,4
MD,Dorchester,5
MD,Frederick,
MD,Garrett,
MD,Harford,A
MD,Harford,B
MD,Harford,C
MD,Harford,D
MD,Harford,E
MD,Harford,F
MD,Howard,1
MD,Howard,2
MD,Howard,3
MD,Howard,4
MD,Howard,5
MD,Kent,
MD,Montgomery,1
MD,Montgomery,2
MD,Montgomery,3
MD,Montgomery,4
MD,Montgomery,5
MD,Prince George's,1
MD,Prince George's,2
MD,Prince George's,3
MD,Prince George's,4
MD,Prince George's,5
MD,Prince George's,6
MD,Prince George's,7
MD,Prince George's,8
MD,Prince George's,9
MD,Queen Anne's,
MD,Somerset,
MD,St. Mary's,
MD,Talbot,
MD,Washington,
MD,Wicomico,1
MD,Wicomico,2
MD,Wicomico,3
MD,Wicomico,4
MD,Wicomico,5
MD,Worcester,
